Object,Name
47 Tuc,NGC 104
Antennae,NGC 4038
Antennae,NGC 4039
Barnard's galaxy,NGC 6822
Baxendell's unphotographable nebula,NGC 7088
Bear Paw galaxy,NGC 2537
Beehive cluster,NGC 2632
Black-eye galaxy,NGC 4826
Blinking planetary,NGC 6826
Blue Snowball,NGC 7662
Blue planetary,NGC 3918
Bode's nebulae,NGC 3031
Bode's nebulae,NGC 3034
Box,NGC 4169
Box,NGC 4173
Box,NGC 4174
Box,NGC 4175
Box nebula,NGC 6309
Bubble nebula,NGC 7635
Bug nebula,NGC 6302
Butterfly cluster,NGC 6405
Butterfly nebula,IC 2220
California nebula,NGC 1499
Christmas Tree cluster,NGC 2264
Cocoon nebula,IC 5146
Cone nebula,NGC 2264
Copeland's Septet,NGC 3745
Copeland's Septet,NGC 3746
Copeland's Septet,NGC 3748
Copeland's Septet,NGC 3750
Copeland's Septet,NGC 3751
Copeland's Septet,NGC 3753
Copeland's Septet,NGC 3754
Crab nebula,NGC 1952
Crescent nebula,NGC 6888
Double cluster,NGC 869
Double cluster,NGC 884
Dumbbell nebula,NGC 6853
Eagle nebula,NGC 6611
Eight-burst planetary,NGC 3132
Eskimo nebula,NGC 2392
The Eyes,NGC 4435
The Eyes,NGC 4438
Filamentary nebula,NGC 6960
Flaming Star nebula,IC 405
Ghost of Jupiter,NGC 3242
Great Cluster in Hercules,NGC 6205
Great Nebula in Andromeda,NGC 224
Great Nebula in Orion,NGC 1976
Helix galaxy,NGC 2685
Helix nebula,NGC 7293
Hind's variable nebula,NGC 1555
Horsehead nebula,IC 434
Hourglass nebula,NGC 6523
Hubble's variable neb,NGC 2261
Jewel Box,NGC 4755
Lace-work nebula,NGC 6960
Lagoon nebula,NGC 6523
Little Dumbbell,NGC 650
Little Dumbbell,NGC 651
Little Gem,NGC 6445
M   1,NGC 1952
M   2,NGC 7089
M   3,NGC 5272
M   4,NGC 6121
M   5,NGC 5904
M   6,NGC 6405
M   7,NGC 6475
M   8,NGC 6523
M   9,NGC 6333
M  10,NGC 6254
M  11,NGC 6705
M  12,NGC 6218
M  13,NGC 6205
M  14,NGC 6402
M  15,NGC 7078
M  16,NGC 6611
M  17,NGC 6618
M  18,NGC 6613
M  19,NGC 6273
M  20,NGC 6514
M  21,NGC 6531
M  22,NGC 6656
M  23,NGC 6494
M  24,NGC 6603
M  25,IC 4725
M  26,NGC 6694
M  27,NGC 6853
M  28,NGC 6626
M  29,NGC 6913
M  30,NGC 7099
M  31,NGC 224
M  32,NGC 221
M  33,NGC 598
M  34,NGC 1039
M  35,NGC 2168
M  36,NGC 1960
M  37,NGC 2099
M  38,NGC 1912
M  39,NGC 7092
M  40,NGC 7092
M  41,NGC 2287
M  42,NGC 1976
M  43,NGC 1982
M  44,NGC 2632
M  45,NGC 1432
M  46,NGC 2437
M  47,NGC 2422
M  48,NGC 2548
M  49,NGC 4472
M  50,NGC 2323
M  51,NGC 5194
M  51,NGC 5195
M  52,NGC 7654
M  53,NGC 5024
M  54,NGC 6715
M  55,NGC 6809
M  56,NGC 6779
M  57,NGC 6720
M  58,NGC 4579
M  59,NGC 4621
M  60,NGC 4649
M  61,NGC 4303
M  62,NGC 6266
M  63,NGC 5055
M  64,NGC 4826
M  65,NGC 3623
M  66,NGC 3627
M  67,NGC 2682
M  68,NGC 4590
M  69,NGC 6637
M  70,NGC 6681
M  71,NGC 6838
M  72,NGC 6981
M  73,NGC 6994
M  74,NGC 628
M  75,NGC 6864
M  76,NGC 650
M  76,NGC 651
M  77,NGC 1068
M  78,NGC 2068
M  79,NGC 1904
M  80,NGC 6093
M  81,NGC 3031
M  82,NGC 3034
M  83,NGC 5236
M  84,NGC 4374
M  85,NGC 4382
M  86,NGC 4406
M  87,NGC 4486
M  88,NGC 4501
M  89,NGC 4552
M  90,NGC 4569
M  91,NGC 4548
M  92,NGC 6341
M  93,NGC 2447
M  94,NGC 4736
M  95,NGC 3351
M  96,NGC 3368
M  97,NGC 3587
M  98,NGC 4192
M  99,NGC 4254
M 100,NGC 4321
M 101,NGC 5457
M 102,NGC 5866
M 103,NGC 581
M 104,NGC 4594
M 105,NGC 3379
M 106,NGC 4258
M 107,NGC 6171
M 108,NGC 3556
M 109,NGC 3992
M 110,NGC 205
Maia nebula,NGC 1432
Merope nebula,NGC 1435
The Mice,NGC 4676
Network nebula,NGC 6992
Network nebula,NGC 6995
North America nebula,NGC 7000
Omega nebula,NGC 6618
Owl nebula,NGC 3587
Papillon,IC 708
Pelican nebula,IC 5067
Pelican nebula,IC 5070
Pin-wheel nebula,NGC 4254
Polarissima Australis,NGC 2573
Polarissima Borealis,NGC 3172
Praesepe,NGC 2632
Ring nebula in Lyra,NGC 6720
Rosette nebula,NGC 2237
Rosette nebula,NGC 2238
Rosette nebula,NGC 2239
Rosette nebula,NGC 2246
Saturn nebula,NGC 7009
Sculptor galaxy,NGC 253
Siamese Twins,NGC 4567
Siamese Twins,NGC 4568
Sombrero galaxy,NGC 4594
Southern Pleiades,IC 2602
Spindle galaxy,NGC 3115
Star Queen nebula,IC 4703
Stephan's Quintet,NGC 7317
Stephan's Quintet,NGC 7318
Stephan's Quintet,NGC 7319
Stephan's Quintet,NGC 7320
Struve's Lost nebula,NGC 1554
Sunflower galaxy,NGC 5055
Tarantula nebula,NGC 2070
Toby Jug nebula,IC 2220
Triangulum galaxy,NGC 598
Trifid nebula,NGC 6514
Veil nebula,NGC 6960
Veil nebula,NGC 6992
Veil nebula,NGC 6995
Whirlpool galaxy,NGC 5194
Whirlpool galaxy,NGC 5195
Wild Duck cluster,NGC 6705
Witch Head nebula,IC 2118
eta Car nebula,NGC 3372
gamma Cas nebula,IC 59
gamma Cas nebula,IC 63
gamma Cyg nebula,IC 1318
kappa Cru cluster,NGC 4755
lambda Cen nebula,IC 2944
lambda Cen nebula,IC 2948
omega Cen,NGC 5139
rho Oph nebula,IC 4604
